iter	Logloss
0	0.6640929827
1	0.6417872029
2	0.6204026878
3	0.6039902931
4	0.5873167004
5	0.5750180613
6	0.5631022018
7	0.5525361034
8	0.5434877148
9	0.5347101495
10	0.5264039447
11	0.5199229894
12	0.5135874399
13	0.5077187741
14	0.5006412532
15	0.4961249978
16	0.4909780956
17	0.4864761021
18	0.4818649133
19	0.4768031338
20	0.4725562094
21	0.4693288866
22	0.4658835921
23	0.4630005148
24	0.4613251595
25	0.4589062837
26	0.4566132597
27	0.4545619977
28	0.4522507433
29	0.4506139611
30	0.4484838468
31	0.4465451835
32	0.4445295689
33	0.4419894153
34	0.4392172677
35	0.4378012976
36	0.4362558942
37	0.4349224642
38	0.4333228869
39	0.4315727118
40	0.4307234552
41	0.4287763606
42	0.4275511951
43	0.426391958
44	0.4253534757
45	0.4243991654
46	0.4234993311
47	0.4223492684
48	0.4213935851
49	0.4204133329
50	0.4193138872
51	0.4183462164
52	0.417610395
53	0.416807859
54	0.4160194157
55	0.4153613584
56	0.4145687561
57	0.4138413577
58	0.412774746
59	0.4116102077
60	0.410637358
61	0.4098767737
62	0.4091176359
63	0.4080141658
64	0.4067944263
65	0.4061814548
66	0.4058703591
67	0.4051752342
68	0.4041592674
69	0.4031795648
70	0.4026992814
71	0.4021905563
72	0.4008583863
73	0.4000519747
74	0.3992199681
75	0.3986685056
76	0.3971541324
77	0.3966415672
78	0.396196504
79	0.3955763413
80	0.3949067543
81	0.3943691799
82	0.3937063203
83	0.3931838789
84	0.3927674427
85	0.3919105201
86	0.3911256881
87	0.3902006268
88	0.3897655785
89	0.3892119399
90	0.3888712788
91	0.3883019312
92	0.3877538972
93	0.3873367255
94	0.3867479206
95	0.3862270696
96	0.3860530264
97	0.3855843318
98	0.3851234002
99	0.384404692
100	0.383784397
101	0.3833655591
102	0.3825812567
103	0.3820023949
104	0.3813893831
105	0.3807364545
106	0.3795001132
107	0.3788678366
108	0.3782945999
109	0.3775513864
110	0.376358851
111	0.3759428982
112	0.3754257164
113	0.374773566
114	0.3742038195
115	0.3735042768
116	0.3732722732
117	0.372829055
118	0.3725441736
119	0.3720585239
120	0.3716803482
121	0.370887928
122	0.3705874379
123	0.3701259885
124	0.3697157546
125	0.3691757744
126	0.3687738608
127	0.3680539264
128	0.3668653494
129	0.3665815801
130	0.3654852895
131	0.3650477929
132	0.3648443545
133	0.3646184366
134	0.3644000102
135	0.363709949
136	0.3626891653
137	0.3621064433
138	0.3614166304
139	0.3609408381
140	0.3604254196
141	0.3599613132
142	0.3597519988
143	0.3593815468
144	0.3590201613
145	0.358627112
146	0.3581841785
147	0.3577097989
148	0.357356622
149	0.3568012855
150	0.3561577951
151	0.3558784281
152	0.3555025628
153	0.3551884636
154	0.3548527055
155	0.3545121429
156	0.3542120275
157	0.3538990959
158	0.3532145321
159	0.3528561557
160	0.3524533253
161	0.3522717913
162	0.3519209289
163	0.3515733736
164	0.3514054553
165	0.3505900849
166	0.3500494676
167	0.3494225352
168	0.3491797306
169	0.3489830324
170	0.3483590319
171	0.3479701792
172	0.3477730716
173	0.3473302023
174	0.3467648263
175	0.3464664588
176	0.3457897015
177	0.3451837566
178	0.3447231905
179	0.3443495398
180	0.3440039313
181	0.3436260813
182	0.343272836
183	0.3428411088
184	0.3425998409
185	0.3422258768
186	0.3417820427
187	0.3412640343
188	0.340837142
189	0.3405379217
190	0.3401474562
191	0.3399235126
192	0.339564684
193	0.3391556874
194	0.3387852269
195	0.338459134
196	0.3380318743
197	0.3375892544
198	0.3372435174
199	0.3367203913
200	0.3363812199
201	0.3359601841
202	0.3356535383
203	0.3351061654
204	0.3345851251
205	0.334272771
206	0.3340066262
207	0.333832684
208	0.3334045063
209	0.3330609847
210	0.3324140386
211	0.3315648442
212	0.331259194
213	0.3309729602
214	0.3306310705
215	0.3296483972
216	0.3292898259
217	0.3289942545
218	0.3286409213
219	0.3282726667
220	0.3278785145
221	0.3272929649
222	0.3267072774
223	0.3259855461
224	0.3252972607
225	0.3247763921
226	0.3242826824
227	0.3238045298
228	0.323449907
229	0.3229756132
230	0.322746242
231	0.3225014227
232	0.3220930547
233	0.3218281843
234	0.3214738286
235	0.3212365014
236	0.3209958165
237	0.3206368969
238	0.320202042
239	0.3198293347
240	0.3194119024
241	0.319183584
242	0.3186989907
243	0.3182079468
244	0.3177307779
245	0.3172191063
246	0.3169516667
247	0.3163224072
248	0.3160822485
249	0.3156943096
250	0.3153484847
251	0.3150775524
252	0.3145877315
253	0.3142991052
254	0.3139048059
255	0.3135995687
256	0.3131015343
257	0.3128212466
258	0.3124436994
259	0.3120797148
260	0.3116999719
261	0.3112693519
262	0.3110907261
263	0.3108836121
264	0.3102807593
265	0.3099110743
266	0.3096511334
267	0.3093274182
268	0.3090846878
269	0.3087183873
270	0.308412466
271	0.3081805534
272	0.3077233263
273	0.3075507112
274	0.3072304704
275	0.3068535724
276	0.3065368556
277	0.30606899
278	0.3057736442
279	0.3055093495
280	0.3050352156
281	0.3048146139
282	0.3045863338
283	0.3043129352
284	0.3039187486
285	0.3035869461
286	0.303297794
287	0.3029789172
288	0.3026030021
289	0.3023313582
290	0.3019019687
291	0.3015167348
292	0.3012942694
293	0.3009743574
294	0.3004619053
295	0.3000270193
296	0.299695833
297	0.2993605758
298	0.2988567042
299	0.2984876042
