iter	Passed	Remaining
0	151	45266
1	156	23359
2	162	16046
3	167	12382
4	172	10190
5	177	8710
6	183	7668
7	188	6876
8	193	6255
9	198	5753
10	203	5346
11	208	5010
12	213	4722
13	219	4477
14	224	4264
15	229	4075
16	235	3912
17	240	3764
18	245	3632
19	251	3516
20	256	3406
21	261	3306
22	267	3217
23	272	3135
24	278	3058
25	283	2982
26	287	2909
27	292	2843
28	297	2781
29	302	2726
30	308	2674
31	313	2626
32	318	2580
33	323	2533
34	329	2493
35	334	2452
36	339	2413
37	344	2376
38	349	2341
39	355	2308
40	360	2275
41	365	2245
42	370	2216
43	375	2187
44	381	2161
45	386	2135
46	391	2109
47	396	2083
48	401	2058
49	407	2035
50	412	2013
51	417	1992
52	423	1971
53	428	1951
54	433	1931
55	438	1911
56	443	1891
57	448	1871
58	453	1853
59	458	1834
60	464	1818
61	469	1801
62	474	1784
63	479	1768
64	484	1752
65	489	1737
66	495	1722
67	500	1707
68	505	1692
69	510	1678
70	515	1664
71	520	1649
72	526	1636
73	531	1623
74	536	1610
75	542	1598
76	547	1585
77	551	1570
78	557	1558
79	562	1545
80	567	1534
81	572	1521
82	577	1510
83	583	1499
84	588	1488
85	593	1477
86	598	1466
87	603	1454
88	608	1443
89	614	1432
90	619	1422
91	624	1412
92	629	1402
93	635	1391
94	640	1381
95	645	1371
96	650	1361
97	656	1352
98	661	1342
99	666	1333
100	672	1324
101	677	1315
102	682	1305
103	688	1296
104	693	1287
105	698	1278
106	704	1269
107	709	1261
108	714	1252
109	719	1243
110	724	1234
111	730	1225
112	735	1216
113	740	1208
114	745	1199
115	750	1190
116	755	1182
117	760	1173
118	765	1164
119	771	1156
120	776	1148
121	781	1140
122	786	1132
123	791	1124
124	797	1116
125	801	1107
126	806	1099
127	811	1090
128	817	1083
129	822	1075
130	827	1067
131	832	1059
132	837	1051
133	842	1044
134	847	1036
135	853	1028
136	858	1021
137	863	1013
138	868	1006
139	873	998
140	878	991
141	884	983
142	889	976
143	894	969
144	899	961
145	905	954
146	910	947
147	916	941
148	921	933
149	926	926
150	931	919
151	936	912
152	941	904
153	946	897
154	951	890
155	956	883
156	962	876
157	967	869
158	972	862
159	977	855
160	983	848
161	988	842
162	993	835
163	998	828
164	1003	821
165	1008	814
166	1014	807
167	1019	801
168	1024	794
169	1029	787
170	1034	780
171	1039	773
172	1045	767
173	1050	760
174	1055	754
175	1061	747
176	1066	741
177	1071	734
178	1076	727
179	1082	721
180	1087	714
181	1092	708
182	1097	701
183	1102	695
184	1107	688
185	1112	681
186	1117	675
187	1122	668
188	1127	662
189	1132	655
190	1138	649
191	1143	643
192	1148	636
193	1154	630
194	1159	624
195	1164	617
196	1169	611
197	1174	605
198	1179	598
199	1185	592
200	1190	586
201	1195	580
202	1200	573
203	1205	567
204	1211	561
205	1216	554
206	1221	548
207	1226	542
208	1231	536
209	1236	529
210	1241	523
211	1246	517
212	1251	511
213	1256	505
214	1262	499
215	1267	492
216	1272	486
217	1277	480
218	1282	474
219	1287	468
220	1292	462
221	1297	455
222	1303	449
223	1308	443
224	1313	437
225	1318	431
226	1323	425
227	1329	419
228	1334	413
229	1339	407
230	1344	401
231	1349	395
232	1354	389
233	1359	383
234	1364	377
235	1370	371
236	1375	365
237	1380	359
238	1386	353
239	1391	347
240	1396	341
241	1401	335
242	1406	330
243	1412	324
244	1417	318
245	1422	312
246	1427	306
247	1432	300
248	1437	294
249	1442	288
250	1447	282
251	1453	276
252	1458	270
253	1463	265
254	1468	259
255	1473	253
256	1479	247
257	1484	241
258	1489	235
259	1494	229
260	1499	224
261	1504	218
262	1509	212
263	1514	206
264	1520	200
265	1525	194
266	1530	189
267	1535	183
268	1540	177
269	1545	171
270	1550	165
271	1555	160
272	1560	154
273	1566	148
274	1571	142
275	1576	137
276	1581	131
277	1600	126
278	1620	121
279	1633	116
280	1642	111
281	1649	105
282	1655	99
283	1660	93
284	1665	87
285	1670	81
286	1675	75
287	1680	70
288	1686	64
289	1691	58
290	1696	52
291	1700	46
292	1705	40
293	1711	34
294	1716	29
295	1721	23
296	1726	17
297	1732	11
298	1737	5
299	1742	0
